income,credit_score,employment_status,loan_amount,loan_term,loan_approved
110619,514,Unemployed,18378,Short-term,0
24015,725,Employed,16990,Long-term,0
110945,744,Unemployed,47377,Short-term,0
128109,595,Unemployed,36969,Long-term,0
98647,624,Unemployed,47632,Long-term,0
54809,751,Unemployed,25874,Long-term,0
29561,562,Self-employed,44344,Long-term,0
124726,651,Self-employed,38887,Long-term,0
97492,700,Unemployed,26580,Long-term,0
84182,785,Unemployed,24784,Long-term,0
45420,548,Unemployed,46623,Long-term,0
81529,612,Self-employed,34766,Short-term,0
51451,773,Self-employed,25564,Long-term,1
36591,552,Unemployed,20854,Long-term,0
33909,779,Self-employed,36084,Short-term,0
123158,789,Unemployed,37162,Long-term,0
89736,735,Unemployed,47857,Short-term,0
99697,724,Employed,6393,Short-term,1
27221,717,Employed,5662,Long-term,0
117053,712,Unemployed,43025,Long-term,0
93991,741,Employed,30034,Short-term,0
104773,776,Employed,18168,Long-term,1
69822,555,Employed,30556,Long-term,0
132928,741,Self-employed,35899,Long-term,0
40968,541,Self-employed,22905,Long-term,0
52685,766,Unemployed,49366,Long-term,0
34039,704,Employed,24718,Short-term,0
79248,692,Employed,14966,Short-term,1
104084,542,Self-employed,14481,Short-term,0
81398,765,Employed,36362,Short-term,0
62943,711,Employed,39337,Long-term,0
118382,530,Self-employed,49034,Long-term,0
77342,794,Unemployed,11986,Short-term,0
39482,732,Self-employed,21686,Short-term,0
147994,509,Employed,26092,Short-term,0
46695,780,Self-employed,41188,Short-term,0
35624,517,Employed,11666,Long-term,0
136017,768,Unemployed,10257,Long-term,0
42061,779,Unemployed,6029,Short-term,0
121106,662,Employed,26422,Short-term,1
139838,754,Employed,14681,Long-term,1
106273,678,Employed,13386,Long-term,1
134553,797,Unemployed,43901,Long-term,0
140685,707,Unemployed,44964,Long-term,0
95760,518,Employed,37655,Long-term,0
46460,519,Self-employed,10635,Short-term,0
57101,522,Unemployed,5838,Long-term,0
117018,711,Self-employed,32716,Short-term,0
86440,571,Unemployed,9861,Short-term,0
108838,683,Unemployed,29840,Short-term,0
129537,568,Self-employed,18809,Short-term,0
64048,633,Employed,30500,Short-term,0
98271,707,Self-employed,45652,Short-term,0
122682,523,Employed,36152,Short-term,0
112594,592,Self-employed,36085,Long-term,0
80706,580,Unemployed,46272,Long-term,0
113314,728,Self-employed,17046,Short-term,1
135133,556,Self-employed,19861,Long-term,0
23845,712,Employed,11453,Short-term,0
127086,758,Self-employed,35361,Long-term,0
63508,656,Unemployed,27921,Short-term,0
91823,612,Unemployed,42864,Short-term,0
34036,728,Unemployed,43691,Short-term,0
30462,771,Self-employed,45163,Long-term,0
135160,621,Self-employed,35250,Long-term,0
136729,767,Employed,17386,Long-term,1
52585,571,Unemployed,24567,Long-term,0
40559,552,Unemployed,16223,Short-term,0
138374,639,Self-employed,14119,Short-term,0
48193,631,Self-employed,14016,Short-term,0
120702,715,Unemployed,7148,Short-term,0
134309,623,Unemployed,17964,Long-term,0
57229,506,Self-employed,27303,Short-term,0
144417,679,Employed,34977,Long-term,0
147740,782,Self-employed,48889,Long-term,0
50852,718,Unemployed,20780,Long-term,0
104790,574,Self-employed,25479,Long-term,0
103492,500,Employed,46733,Short-term,0
63499,630,Unemployed,6826,Long-term,0
137304,557,Self-employed,21235,Short-term,0
56270,659,Unemployed,32361,Short-term,0
118272,604,Employed,23615,Short-term,0
30156,519,Self-employed,41154,Long-term,0
64806,540,Self-employed,35492,Short-term,0
24406,524,Unemployed,42852,Short-term,0
63741,710,Employed,44112,Short-term,0
93219,602,Employed,16819,Long-term,0
21425,694,Self-employed,39469,Short-term,0
133033,632,Unemployed,11718,Short-term,0
22886,633,Unemployed,26734,Long-term,0
88034,728,Employed,22584,Long-term,1
91953,749,Employed,18752,Long-term,1
133499,520,Self-employed,42670,Long-term,0
86345,756,Self-employed,14705,Short-term,1
77797,516,Unemployed,15717,Short-term,0
27790,657,Employed,26054,Long-term,0
22775,633,Self-employed,39455,Short-term,0
62360,555,Employed,8169,Long-term,0
143602,694,Employed,36863,Long-term,0
107879,783,Self-employed,42506,Long-term,0
